rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2014-11-15,Davidson,,Catholic,REG (Non-Conf),W 102-66,,7,1,1,1.0,1,1,1.0,0,0,,1.5,1,2,0.5,1,0,1,0,0,0,1,1,4,2.6,H,1,1,jordan-watkins-1,Jordan Watkins,2015
2,2,2,2014-11-18,Davidson,,Campbell,REG (Non-Conf),W 86-51,,5,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,0,1,1,0,0,0,1,0,2,0.3,H,1,1,jordan-watkins-1,Jordan Watkins,2015
3,3,4,2014-11-26,Davidson,@,UCF,REG (Non-Conf),W 95-69,,4,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,1,1,0,0,0,0,1,0,-0.8,A,1,1,jordan-watkins-1,Jordan Watkins,2015
4,4,5,2014-11-29,Davidson,,UNC Wilmington,REG (Non-Conf),W 72-49,,6,0,1,0.0,0,0,,0,1,0.0,0.0,2,2,1.0,0,0,0,0,0,0,0,1,2,0.9,H,1,1,jordan-watkins-1,Jordan Watkins,2015
5,5,6,2014-12-03,Davidson,,Charlotte,REG (Non-Conf),W 92-86,,0,0,0,,0,0,,0,0,,,1,2,0.5,0,0,0,0,0,0,0,0,1,0.6,H,1,1,jordan-watkins-1,Jordan Watkins,2015
6,6,7,2014-12-06,Davidson,,Stetson,REG (Non-Conf),W 90-59,,12,1,3,0.333,1,2,0.5,0,1,0.0,0.5,0,0,,0,5,5,0,0,1,0,1,3,3.1,H,1,1,jordan-watkins-1,Jordan Watkins,2015
7,7,9,2014-12-13,Davidson,,Niagara,REG (Non-Conf),W 78-58,,8,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,2,0,0,0,1,0,0.3,H,1,1,jordan-watkins-1,Jordan Watkins,2015
8,8,10,2014-12-20,Davidson,@,College of Charleston,REG (Non-Conf),W 80-68,,1,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,1,1,0,0,0,0,1,0,-0.8,A,1,1,jordan-watkins-1,Jordan Watkins,2015
9,9,14,2015-01-10,Davidson,,Saint Louis,REG (Conf),W 89-54,,3,1,1,1.0,0,0,,1,1,1.0,1.0,1,2,0.5,0,1,1,0,0,0,1,1,3,1.2,H,1,1,jordan-watkins-1,Jordan Watkins,2015
10,10,16,2015-01-17,Davidson,@,Richmond,REG (Conf),L 63-89,,5,0,1,0.0,0,0,,0,1,0.0,0.0,4,5,0.8,0,1,1,1,0,0,0,0,4,3.9,A,0,1,jordan-watkins-1,Jordan Watkins,2015
11,11,17,2015-01-20,Davidson,,Dayton,REG (Conf),W 77-60,,15,1,3,0.333,1,2,0.5,0,1,0.0,0.5,0,1,0.0,2,0,2,1,3,0,0,0,3,6.0,H,1,1,jordan-watkins-1,Jordan Watkins,2015
12,12,18,2015-01-24,Davidson,@,George Mason,REG (Conf),W 80-73 (OT),,19,3,6,0.5,1,4,0.25,2,2,1.0,0.583,0,0,,0,3,3,2,0,0,0,1,7,5.9,A,1,1,jordan-watkins-1,Jordan Watkins,2015
13,13,19,2015-01-31,Davidson,@,Saint Joseph's,REG (Conf),L 70-75,,16,1,5,0.2,0,2,0.0,1,3,0.333,0.2,0,0,,0,1,1,0,1,0,0,3,2,-1.0,A,0,1,jordan-watkins-1,Jordan Watkins,2015
14,14,20,2015-02-04,Davidson,,St. Bonaventure,REG (Conf),L 61-62,,16,1,4,0.25,1,2,0.5,0,2,0.0,0.375,2,2,1.0,0,0,0,2,0,0,0,2,5,3.2,H,0,1,jordan-watkins-1,Jordan Watkins,2015
15,15,21,2015-02-07,Davidson,,Duquesne,REG (Conf),W 95-69,,35,4,8,0.5,2,3,0.667,2,5,0.4,0.625,1,2,0.5,1,1,2,3,0,0,1,0,11,8.7,H,1,1,jordan-watkins-1,Jordan Watkins,2015
16,16,22,2015-02-11,Davidson,,George Mason,REG (Conf),W 92-71,,27,3,5,0.6,2,3,0.667,1,2,0.5,0.8,4,5,0.8,0,1,1,2,2,0,3,1,12,9.6,H,1,1,jordan-watkins-1,Jordan Watkins,2015
17,17,23,2015-02-14,Davidson,@,La Salle,REG (Conf),W 77-69,,27,2,4,0.5,1,2,0.5,1,2,0.5,0.625,0,0,,1,2,3,2,2,0,2,0,5,5.7,A,1,1,jordan-watkins-1,Jordan Watkins,2015
18,18,24,2015-02-18,Davidson,@,George Washington,REG (Conf),W 65-63,,12,2,2,1.0,1,1,1.0,1,1,1.0,1.25,0,0,,1,0,1,0,0,0,2,2,5,2.3,A,1,1,jordan-watkins-1,Jordan Watkins,2015
19,19,28,2015-03-05,Davidson,,VCU,REG (Conf),W 82-55,,5,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,1,2,3,1,0,0,0,0,0,1.3,H,1,1,jordan-watkins-1,Jordan Watkins,2015
20,20,29,2015-03-07,Davidson,@,Duquesne,REG (Conf),W 107-78,,13,2,2,1.0,2,2,1.0,0,0,,1.5,0,0,,0,1,1,1,0,0,2,0,6,4.4,A,1,1,jordan-watkins-1,Jordan Watkins,2015
21,21,30,2015-03-13,Davidson,N,La Salle,CTOURN,W 67-66,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,N,1,0,jordan-watkins-1,Jordan Watkins,2015
22,22,31,2015-03-14,Davidson,N,VCU,CTOURN,L 73-93,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,2,0,-0.1,N,0,0,jordan-watkins-1,Jordan Watkins,2015
23,23,32,2015-03-20,Davidson,N,Iowa,ROUND-64,L 52-83,,3,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,0,1,0,-1.1,N,0,0,jordan-watkins-1,Jordan Watkins,2015
