rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2013-11-08,@,Akron,REG (Non-Conf),L,63,72,,23,59,0.39,6,14,0.429,17,45,0.378,0.441,11,18,0.611,12,19,31,6,8,4,20,22,25,59,0.424,7,22,0.318,18,37,.486,0.483,15,26,0.577,9,24,33,10,13,5,17,18,0,1,0,coastal-carolina,2014
2,2,2013-11-11,,Guilford,REG (Non-Conf),W,76,49,,28,73,0.384,7,27,0.259,21,46,0.457,0.432,13,17,0.765,15,32,47,16,12,7,11,19,17,62,0.274,7,31,0.226,10,31,.323,0.331,8,12,0.667,15,26,41,9,4,0,20,17,1,1,0,coastal-carolina,2014
3,3,2013-11-16,,Ole Miss,REG (Non-Conf),L,70,72,,26,70,0.371,5,27,0.185,21,43,0.488,0.407,13,24,0.542,10,33,43,10,7,4,12,28,20,50,0.4,8,19,0.421,12,31,.387,0.48,24,40,0.6,3,33,36,10,9,9,15,20,0,1,0,coastal-carolina,2014
4,4,2013-11-19,@,Minnesota,REG (Non-Conf),L,72,82,,28,54,0.519,9,20,0.45,19,34,0.559,0.602,7,8,0.875,4,22,26,18,2,3,17,25,27,62,0.435,8,28,0.286,19,34,.559,0.5,20,24,0.833,10,21,31,15,11,4,9,16,0,1,0,coastal-carolina,2014
5,5,2013-11-23,,St. Francis Brooklyn,REG (Non-Conf),W,70,59,,20,49,0.408,1,8,0.125,19,41,0.463,0.418,29,38,0.763,8,30,38,7,6,2,16,17,22,66,0.333,4,27,0.148,18,39,.462,0.364,11,14,0.786,13,23,36,6,7,5,12,24,1,1,0,coastal-carolina,2014
6,6,2013-11-24,,LouisianaâLafayette,REG (Non-Conf),L,69,73,,25,69,0.362,4,14,0.286,21,55,0.382,0.391,15,26,0.577,19,23,42,8,11,1,16,20,26,51,0.51,12,26,0.462,14,25,.560,0.627,9,17,0.529,7,28,35,16,7,4,23,20,0,1,0,coastal-carolina,2014
7,7,2013-11-29,@,Clemson,REG (Non-Conf),L,40,69,,15,53,0.283,2,15,0.133,13,38,0.342,0.302,8,14,0.571,7,18,25,4,6,2,16,22,23,53,0.434,8,25,0.32,15,28,.536,0.509,15,21,0.714,11,31,42,14,8,8,14,15,0,1,0,coastal-carolina,2014
8,8,2013-12-04,,Western Carolina,REG (Non-Conf),W,76,68,,27,57,0.474,3,19,0.158,24,38,0.632,0.5,19,23,0.826,12,28,40,12,7,1,21,20,23,59,0.39,8,29,0.276,15,30,.500,0.458,14,25,0.56,13,18,31,9,8,1,15,21,1,1,0,coastal-carolina,2014
9,9,2013-12-05,,N.C. Wesleyan,REG (Non-Conf),W,89,54,,30,60,0.5,13,29,0.448,17,31,0.548,0.608,16,24,0.667,13,30,43,16,8,2,13,10,23,66,0.348,6,23,0.261,17,43,.395,0.394,2,5,0.4,10,16,26,8,6,1,14,18,1,1,0,coastal-carolina,2014
10,10,2013-12-14,,Reinhardt,REG (Non-Conf),W,118,82,,42,62,0.677,11,16,0.688,31,46,0.674,0.766,23,33,0.697,14,30,44,19,5,1,18,22,29,62,0.468,11,28,0.393,18,34,.529,0.556,13,22,0.591,7,10,17,11,8,2,13,24,1,1,0,coastal-carolina,2014
11,11,2013-12-17,@,South Carolina State,REG (Non-Conf),L,78,83,,28,62,0.452,8,23,0.348,20,39,0.513,0.516,14,17,0.824,9,21,30,11,6,2,15,26,27,63,0.429,6,19,0.316,21,44,.477,0.476,23,32,0.719,15,22,37,15,4,5,15,15,0,1,0,coastal-carolina,2014
12,12,2013-12-21,@,Central Connecticut State,REG (Non-Conf),W,65,62,,25,61,0.41,7,17,0.412,18,44,0.409,0.467,8,9,0.889,14,24,38,7,4,3,10,15,21,58,0.362,11,31,0.355,10,27,.370,0.457,9,11,0.818,6,20,26,16,5,7,10,15,1,1,0,coastal-carolina,2014
13,13,2013-12-30,,South Carolina State,REG (Non-Conf),L,58,68,,18,60,0.3,3,27,0.111,15,33,0.455,0.325,19,34,0.559,22,16,38,6,7,1,11,21,23,49,0.469,7,18,0.389,16,31,.516,0.541,15,21,0.714,7,25,32,16,9,3,10,23,0,1,0,coastal-carolina,2014
