rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2010-11-13,Michigan,,USC Upstate,REG (Non-Conf),W 66-35,*,23,1,6,0.167,0,2,0.0,1,4,0.25,0.167,0,0,,0,3,3,1,0,0,1,2,2,-2.0,H,1,1,evan-smotrycz-1,Evan Smotrycz,2011
2,2,2,2010-11-18,Michigan,,Bowling Green,REG (Non-Conf),W 69-50,*,22,4,6,0.667,3,5,0.6,1,1,1.0,0.917,3,4,0.75,0,7,7,0,1,0,2,4,14,10.5,H,1,1,evan-smotrycz-1,Evan Smotrycz,2011
3,3,3,2010-11-21,Michigan,,Gardner-Webb,REG (Non-Conf),W 80-58,*,20,3,6,0.5,1,2,0.5,2,4,0.5,0.583,0,0,,0,3,3,2,1,1,2,0,7,6.0,H,1,1,evan-smotrycz-1,Evan Smotrycz,2011
4,4,4,2010-11-26,Michigan,N,Syracuse,REG (Non-Conf),L 50-53,*,28,2,10,0.2,2,7,0.286,0,3,0.0,0.3,0,0,,1,4,5,1,1,1,0,3,6,2.9,N,0,1,evan-smotrycz-1,Evan Smotrycz,2011
5,5,5,2010-11-27,Michigan,N,UTEP,REG (Non-Conf),L 56-65,*,10,1,4,0.25,1,3,0.333,0,1,0.0,0.375,1,2,0.5,0,0,0,0,0,0,0,2,4,0.4,N,0,1,evan-smotrycz-1,Evan Smotrycz,2011
6,6,6,2010-11-30,Michigan,@,Clemson,REG (Non-Conf),W 69-61,*,25,6,7,0.857,2,2,1.0,4,5,0.8,1.0,4,5,0.8,4,2,6,1,0,0,1,2,18,17.4,A,1,1,evan-smotrycz-1,Evan Smotrycz,2011
7,7,7,2010-12-04,Michigan,,Harvard,REG (Non-Conf),W 65-62,*,16,0,5,0.0,0,3,0.0,0,2,0.0,0.0,0,0,,2,1,3,0,1,0,0,0,0,-0.8,H,1,1,evan-smotrycz-1,Evan Smotrycz,2011
8,8,8,2010-12-06,Michigan,,Concordia (MI),REG (Non-Conf),W 86-65,*,11,1,5,0.2,0,3,0.0,1,2,0.5,0.2,0,0,,0,0,0,2,0,0,0,0,2,0.3,H,1,1,evan-smotrycz-1,Evan Smotrycz,2011
9,9,9,2010-12-10,Michigan,,Utah,REG (Non-Conf),W 75-64,*,10,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,3,2,0,-3.1,H,1,1,evan-smotrycz-1,Evan Smotrycz,2011
10,10,10,2010-12-14,Michigan,,North Carolina Central,REG (Non-Conf),W 64-44,*,19,3,7,0.429,2,5,0.4,1,2,0.5,0.571,2,2,1.0,0,2,2,2,0,0,1,3,10,6.1,H,1,1,evan-smotrycz-1,Evan Smotrycz,2011
11,11,11,2010-12-18,Michigan,,Oakland,REG (Non-Conf),W 69-51,*,20,3,8,0.375,1,5,0.2,2,3,0.667,0.438,0,0,,0,0,0,2,0,1,1,1,7,3.3,H,1,1,evan-smotrycz-1,Evan Smotrycz,2011
12,12,12,2010-12-23,Michigan,,Bryant,REG (Non-Conf),W 87-71,*,20,5,7,0.714,4,6,0.667,1,1,1.0,1.0,0,0,,2,0,2,3,0,0,0,1,14,14.2,H,1,1,evan-smotrycz-1,Evan Smotrycz,2011
13,13,13,2010-12-28,Michigan,,Purdue,REG (Conf),L 57-80,*,15,2,3,0.667,2,3,0.667,0,0,,1.0,0,0,,0,0,0,0,0,1,1,5,6,2.4,H,0,1,evan-smotrycz-1,Evan Smotrycz,2011
14,14,14,2011-01-02,Michigan,,Penn State,REG (Conf),W 76-69,*,24,4,9,0.444,2,5,0.4,2,4,0.5,0.556,1,1,1.0,1,5,6,0,0,0,3,2,11,4.7,H,1,1,evan-smotrycz-1,Evan Smotrycz,2011
15,15,15,2011-01-05,Michigan,@,Wisconsin,REG (Conf),L 50-66,*,30,2,5,0.4,1,3,0.333,1,2,0.5,0.5,0,0,,1,1,2,0,0,0,1,3,5,1.1,A,0,1,evan-smotrycz-1,Evan Smotrycz,2011
16,16,16,2011-01-09,Michigan,,Kansas,REG (Non-Conf),L 60-67 (OT),*,13,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,0,1,1,0,0,0,1,4,0,-4.4,H,0,1,evan-smotrycz-1,Evan Smotrycz,2011
17,17,17,2011-01-12,Michigan,,Ohio State,REG (Conf),L 64-68,*,28,5,9,0.556,4,6,0.667,1,3,0.333,0.778,0,0,,1,5,6,1,0,1,3,4,14,8.7,H,0,1,evan-smotrycz-1,Evan Smotrycz,2011
18,18,18,2011-01-15,Michigan,@,Indiana,REG (Conf),L 61-80,*,18,1,5,0.2,1,4,0.25,0,1,0.0,0.3,0,0,,1,0,1,0,1,0,1,4,3,-1.0,A,0,1,evan-smotrycz-1,Evan Smotrycz,2011
19,19,19,2011-01-18,Michigan,@,Northwestern,REG (Conf),L 60-74,*,15,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,2,2,0,0,0,0,2,0,-0.9,A,0,1,evan-smotrycz-1,Evan Smotrycz,2011
20,20,20,2011-01-22,Michigan,,Minnesota,REG (Conf),L 64-69,*,16,2,9,0.222,1,7,0.143,1,2,0.5,0.278,0,0,,0,1,1,0,3,1,0,4,5,1.9,H,0,1,evan-smotrycz-1,Evan Smotrycz,2011
21,21,21,2011-01-27,Michigan,@,Michigan State,REG (Conf),W 61-57,*,18,0,3,0.0,0,3,0.0,0,0,,0.0,0,0,,1,2,3,0,0,0,1,1,0,-2.2,A,1,1,evan-smotrycz-1,Evan Smotrycz,2011
22,22,22,2011-01-30,Michigan,,Iowa,REG (Conf),W 87-73,*,19,5,6,0.833,4,5,0.8,1,1,1.0,1.167,0,0,,1,0,1,2,0,0,0,3,14,12.7,H,1,1,evan-smotrycz-1,Evan Smotrycz,2011
23,23,23,2011-02-03,Michigan,@,Ohio State,REG (Conf),L 53-62,*,22,2,7,0.286,1,4,0.25,1,3,0.333,0.357,0,0,,1,3,4,1,0,0,2,5,5,-0.8,A,0,1,evan-smotrycz-1,Evan Smotrycz,2011
24,24,24,2011-02-06,Michigan,@,Penn State,REG (Conf),W 65-62,*,15,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,1,2,0,-3.2,A,1,1,evan-smotrycz-1,Evan Smotrycz,2011
25,25,25,2011-02-09,Michigan,,Northwestern,REG (Conf),W 75-66,,12,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,1,0.0,1,0,1,0,0,0,0,2,5,3.2,H,1,1,evan-smotrycz-1,Evan Smotrycz,2011
26,26,26,2011-02-12,Michigan,,Indiana,REG (Conf),W 73-69,,17,1,3,0.333,0,0,,1,3,0.333,0.333,1,3,0.333,1,2,3,1,2,1,0,4,3,3.6,H,1,1,evan-smotrycz-1,Evan Smotrycz,2011
27,27,27,2011-02-16,Michigan,@,Illinois,REG (Conf),L 52-54,,17,2,9,0.222,1,5,0.2,1,4,0.25,0.278,0,0,,1,1,2,0,0,0,0,1,5,0.1,A,0,1,evan-smotrycz-1,Evan Smotrycz,2011
28,28,28,2011-02-19,Michigan,@,Iowa,REG (Conf),W 75-72 (OT),,9,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,0,1,1,0,1,0,2,2,0,-2.9,A,1,1,evan-smotrycz-1,Evan Smotrycz,2011
29,29,29,2011-02-23,Michigan,,Wisconsin,REG (Conf),L 52-53,,11,2,2,1.0,1,1,1.0,1,1,1.0,1.25,0,2,0.0,0,1,1,1,0,0,0,0,5,4.6,H,0,1,evan-smotrycz-1,Evan Smotrycz,2011
30,30,30,2011-02-26,Michigan,@,Minnesota,REG (Conf),W 70-63,,11,1,4,0.25,0,2,0.0,1,2,0.5,0.25,2,2,1.0,1,4,5,1,0,0,0,2,4,3.4,A,1,1,evan-smotrycz-1,Evan Smotrycz,2011
31,31,31,2011-03-05,Michigan,,Michigan State,REG (Conf),W 70-63,,21,4,6,0.667,1,2,0.5,3,4,0.75,0.75,5,5,1.0,0,0,0,1,3,1,0,1,14,15.4,H,1,1,evan-smotrycz-1,Evan Smotrycz,2011
32,32,32,2011-03-11,Michigan,N,Illinois,CTOURN,W 60-55,,19,2,4,0.5,2,4,0.5,0,0,,0.75,0,1,0.0,0,4,4,1,2,0,2,3,6,4.3,N,1,0,evan-smotrycz-1,Evan Smotrycz,2011
33,33,33,2011-03-12,Michigan,N,Ohio State,CTOURN,L 61-68,,19,3,8,0.375,3,5,0.6,0,3,0.0,0.563,0,0,,0,1,1,0,0,0,0,3,9,3.7,N,0,0,evan-smotrycz-1,Evan Smotrycz,2011
34,34,34,2011-03-18,Michigan,N,Tennessee,ROUND-64,W 75-45,,16,3,11,0.273,2,7,0.286,1,4,0.25,0.364,0,0,,2,2,4,0,1,1,1,2,8,3.4,N,1,0,evan-smotrycz-1,Evan Smotrycz,2011
35,35,35,2011-03-20,Michigan,N,Duke,ROUND-32,L 71-73,,14,5,7,0.714,2,2,1.0,3,5,0.6,0.857,1,1,1.0,1,0,1,0,0,0,1,5,13,7.8,N,0,0,evan-smotrycz-1,Evan Smotrycz,2011
