rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2017-11-10,,Texas Southern,REG (Non-Conf),W,97,69,,35,72,0.486,11,25,0.44,24,47,0.511,0.563,16,22,0.727,15,35,50,21,8,2,14,23,26,72,0.361,4,21,0.19,22,51,.431,0.389,13,23,0.565,13,19,32,5,9,3,10,21,1,1,0,gonzaga,2018
2,2,2017-11-14,,Howard,REG (Non-Conf),W,106,69,,40,70,0.571,14,35,0.4,26,35,0.743,0.671,12,21,0.571,16,31,47,22,5,3,13,21,21,68,0.309,8,25,0.32,13,43,.302,0.368,19,23,0.826,12,20,32,7,3,0,10,20,1,1,0,gonzaga,2018
3,3,2017-11-18,,Utah State,REG (Non-Conf),W,79,66,,28,64,0.438,5,18,0.278,23,46,0.5,0.477,18,20,0.9,12,25,37,14,7,5,3,16,23,59,0.39,11,27,0.407,12,32,.375,0.483,9,13,0.692,8,23,31,12,0,0,10,18,1,1,0,gonzaga,2018
4,4,2017-11-23,N,Ohio State,REG (Non-Conf),W,86,59,,31,53,0.585,12,25,0.48,19,28,0.679,0.698,12,18,0.667,7,25,32,14,6,5,13,21,19,55,0.345,6,20,0.3,13,35,.371,0.4,15,22,0.682,9,18,27,14,4,2,15,18,1,1,0,gonzaga,2018
5,5,2017-11-24,N,Florida,REG (Non-Conf),L,105,111,2OT,38,79,0.481,10,31,0.323,28,48,0.583,0.544,19,25,0.76,12,27,39,17,6,6,14,23,33,72,0.458,17,36,0.472,16,36,.444,0.576,28,35,0.8,9,26,35,22,5,4,12,21,0,1,0,gonzaga,2018
6,6,2017-11-26,N,Texas,REG (Non-Conf),W,76,71,OT,26,57,0.456,11,27,0.407,15,30,0.5,0.553,13,21,0.619,6,28,34,17,9,2,22,15,26,67,0.388,8,22,0.364,18,45,.400,0.448,11,15,0.733,13,23,36,13,10,6,20,19,1,1,0,gonzaga,2018
7,7,2017-11-29,,Incarnate Word,REG (Non-Conf),W,103,68,,37,68,0.544,12,28,0.429,25,40,0.625,0.632,17,24,0.708,13,26,39,22,10,0,9,14,25,57,0.439,9,18,0.5,16,39,.410,0.518,9,11,0.818,6,19,25,12,4,2,18,21,1,1,0,gonzaga,2018
8,8,2017-12-01,,Creighton,REG (Non-Conf),W,91,74,,31,57,0.544,10,25,0.4,21,32,0.656,0.632,19,25,0.76,8,27,35,17,9,5,15,14,29,60,0.483,12,25,0.48,17,35,.486,0.583,4,8,0.5,3,18,21,17,5,2,15,18,1,1,0,gonzaga,2018
9,9,2017-12-05,N,Villanova,REG (Non-Conf),L,72,88,,25,52,0.481,6,22,0.273,19,30,0.633,0.538,16,21,0.762,4,19,23,13,4,2,19,23,30,58,0.517,10,21,0.476,20,37,.541,0.603,18,27,0.667,8,19,27,14,6,3,11,21,0,1,0,gonzaga,2018
10,10,2017-12-10,@,Washington,REG (Non-Conf),W,97,70,,33,65,0.508,10,28,0.357,23,37,0.622,0.585,21,26,0.808,10,24,34,20,9,2,8,18,26,55,0.473,7,19,0.368,19,36,.528,0.536,11,19,0.579,4,18,22,13,7,6,12,20,1,1,0,gonzaga,2018
