rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2017-11-10,,North Florida,REG (Non-Conf),W,98,66,,35,61,0.574,3,12,0.25,32,49,0.653,0.598,25,32,0.781,13,32,45,22,12,10,21,21,23,66,0.348,11,29,0.379,12,37,.324,0.432,9,15,0.6,8,14,22,8,9,2,19,24,1,1,0,michigan-state,2018
2,2,2017-11-14,N,Duke,REG (Non-Conf),L,81,88,,31,61,0.508,9,25,0.36,22,36,0.611,0.582,10,18,0.556,8,22,30,25,1,12,17,21,30,76,0.395,9,23,0.391,21,53,.396,0.454,19,29,0.655,21,21,42,21,12,5,9,20,0,1,0,michigan-state,2018
3,3,2017-11-19,,Stony Brook,REG (Non-Conf),W,93,71,,33,57,0.579,5,15,0.333,28,42,0.667,0.623,22,27,0.815,11,29,40,20,5,7,14,20,24,59,0.407,13,26,0.5,11,33,.333,0.517,10,15,0.667,6,12,18,16,7,1,13,20,1,1,0,michigan-state,2018
4,4,2017-11-23,N,DePaul,REG (Non-Conf),W,73,51,,25,53,0.472,10,23,0.435,15,30,0.5,0.566,13,17,0.765,8,29,37,17,5,1,14,26,13,51,0.255,4,16,0.25,9,35,.257,0.294,21,27,0.778,6,16,22,7,10,0,11,18,1,1,0,michigan-state,2018
5,5,2017-11-25,N,Connecticut,REG (Non-Conf),W,77,57,,32,66,0.485,8,18,0.444,24,48,0.5,0.545,5,10,0.5,11,27,38,12,3,4,8,16,20,57,0.351,7,22,0.318,13,35,.371,0.412,10,11,0.909,7,21,28,6,4,5,13,14,1,1,0,michigan-state,2018
6,6,2017-11-26,N,North Carolina,REG (Non-Conf),W,63,45,,22,55,0.4,10,26,0.385,12,29,0.414,0.491,9,13,0.692,10,34,44,16,7,7,22,23,15,61,0.246,1,18,0.056,14,43,.326,0.254,14,24,0.583,11,19,30,9,8,4,16,14,1,1,0,michigan-state,2018
7,7,2017-11-30,,Notre Dame,REG (Non-Conf),W,81,63,,31,60,0.517,9,21,0.429,22,39,0.564,0.592,10,14,0.714,13,26,39,21,4,6,13,14,24,54,0.444,8,18,0.444,16,36,.444,0.519,7,10,0.7,3,15,18,16,8,6,10,15,1,1,0,michigan-state,2018
8,8,2017-12-03,,Nebraska,REG (Conf),W,86,57,,27,57,0.474,5,19,0.263,22,38,0.579,0.518,27,36,0.75,11,34,45,16,1,11,6,16,17,62,0.274,10,22,0.455,7,40,.175,0.355,13,20,0.65,10,24,34,10,0,1,5,25,1,1,0,michigan-state,2018
9,9,2017-12-05,@,Rutgers,REG (Conf),W,62,52,,22,57,0.386,8,21,0.381,14,36,0.389,0.456,10,16,0.625,12,28,40,15,4,13,14,17,17,66,0.258,4,15,0.267,13,51,.255,0.288,14,18,0.778,17,22,39,7,3,5,10,21,1,1,0,michigan-state,2018
10,10,2017-12-09,,Southern Utah,REG (Non-Conf),W,88,63,,28,59,0.475,9,19,0.474,19,40,0.475,0.551,23,31,0.742,14,34,48,24,6,12,11,12,21,65,0.323,11,26,0.423,10,39,.256,0.408,10,16,0.625,10,20,30,13,8,0,9,24,1,1,0,michigan-state,2018
11,11,2017-12-16,N,Oakland,REG (Non-Conf),W,86,73,,31,60,0.517,9,23,0.391,22,37,0.595,0.592,15,23,0.652,14,29,43,18,7,6,17,16,22,62,0.355,10,27,0.37,12,35,.343,0.435,19,23,0.826,6,18,24,15,11,3,13,22,1,1,0,michigan-state,2018
12,12,2017-12-18,,Houston Baptist,REG (Non-Conf),W,107,62,,36,56,0.643,10,20,0.5,26,36,0.722,0.732,25,33,0.758,10,32,42,30,4,16,14,22,21,74,0.284,4,19,0.211,17,55,.309,0.311,16,23,0.696,20,15,35,9,7,2,13,29,1,1,0,michigan-state,2018
13,13,2017-12-21,,Long Beach State,REG (Non-Conf),W,102,60,,39,64,0.609,13,29,0.448,26,35,0.743,0.711,11,13,0.846,12,23,35,28,9,10,11,15,24,59,0.407,4,14,0.286,20,45,.444,0.441,8,11,0.727,9,13,22,15,4,1,16,16,1,1,0,michigan-state,2018
14,14,2017-12-29,,Cleveland State,REG (Non-Conf),W,111,61,,41,63,0.651,15,26,0.577,26,37,0.703,0.77,14,18,0.778,15,32,47,29,1,4,11,18,19,58,0.328,11,37,0.297,8,21,.381,0.422,12,16,0.75,6,8,14,9,6,1,7,16,1,1,0,michigan-state,2018
15,15,2017-12-31,,Savannah State,REG (Non-Conf),W,108,52,,44,70,0.629,8,22,0.364,36,48,0.75,0.686,12,22,0.545,14,43,57,35,6,7,17,14,18,69,0.261,10,42,0.238,8,27,.296,0.333,6,11,0.545,6,17,23,13,9,3,17,24,1,1,0,michigan-state,2018
16,16,2018-01-04,,Maryland,REG (Conf),W,91,61,,32,56,0.571,16,28,0.571,16,28,0.571,0.714,11,15,0.733,7,26,33,30,4,9,7,17,20,53,0.377,8,20,0.4,12,33,.364,0.453,13,15,0.867,8,18,26,12,2,0,12,17,1,1,0,michigan-state,2018
17,17,2018-01-07,@,Ohio State,REG (Conf),L,64,80,,23,59,0.39,7,25,0.28,16,34,0.471,0.449,11,13,0.846,9,24,33,13,3,1,11,17,31,59,0.525,7,15,0.467,24,44,.545,0.585,11,17,0.647,4,26,30,15,6,4,6,18,0,1,0,michigan-state,2018
18,18,2018-01-10,,Rutgers,REG (Conf),W,76,72,OT,21,51,0.412,9,19,0.474,12,32,0.375,0.5,25,34,0.735,7,29,36,19,3,8,13,19,27,67,0.403,5,18,0.278,22,49,.449,0.44,13,15,0.867,9,30,39,12,6,1,9,29,1,1,0,michigan-state,2018
19,19,2018-01-13,,Michigan,REG (Conf),L,72,82,,21,46,0.457,3,13,0.231,18,33,0.545,0.489,27,32,0.844,8,24,32,13,3,8,17,26,24,57,0.421,6,15,0.4,18,42,.429,0.474,28,35,0.8,8,19,27,13,6,4,7,25,0,1,0,michigan-state,2018
20,20,2018-01-19,,Indiana,REG (Conf),W,85,57,,32,59,0.542,10,20,0.5,22,39,0.564,0.627,11,17,0.647,11,33,44,23,2,7,13,14,20,59,0.339,8,26,0.308,12,33,.364,0.407,9,14,0.643,8,19,27,9,4,2,9,18,1,1,0,michigan-state,2018
21,21,2018-01-22,@,Illinois,REG (Conf),W,87,74,,30,44,0.682,4,9,0.444,26,35,0.743,0.727,23,28,0.821,9,28,37,15,5,9,25,18,28,65,0.431,8,28,0.286,20,37,.541,0.492,10,14,0.714,7,5,12,12,8,2,10,26,1,1,0,michigan-state,2018
22,22,2018-01-26,,Wisconsin,REG (Conf),W,76,61,,27,54,0.5,8,19,0.421,19,35,0.543,0.574,14,16,0.875,9,25,34,19,2,9,12,19,21,58,0.362,5,24,0.208,16,34,.471,0.405,14,16,0.875,7,16,23,10,7,3,9,19,1,1,0,michigan-state,2018
23,23,2018-01-28,@,Maryland,REG (Conf),W,74,68,,25,63,0.397,5,21,0.238,20,42,0.476,0.437,19,23,0.826,16,24,40,11,6,7,9,19,24,56,0.429,7,17,0.412,17,39,.436,0.491,13,19,0.684,7,19,26,12,1,4,8,22,1,1,0,michigan-state,2018
24,24,2018-01-31,,Penn State,REG (Conf),W,76,68,,24,48,0.5,8,17,0.471,16,31,0.516,0.583,20,25,0.8,4,34,38,18,5,7,15,14,26,69,0.377,7,24,0.292,19,45,.422,0.428,9,11,0.818,8,20,28,13,10,3,8,21,1,1,0,michigan-state,2018
25,25,2018-02-03,@,Indiana,REG (Conf),W,63,60,,23,47,0.489,9,18,0.5,14,29,0.483,0.585,8,17,0.471,3,23,26,15,3,13,11,24,19,66,0.288,4,19,0.211,15,47,.319,0.318,18,25,0.72,21,28,49,13,6,2,8,18,1,1,0,michigan-state,2018
26,26,2018-02-06,@,Iowa,REG (Conf),W,96,93,,32,57,0.561,8,17,0.471,24,40,0.6,0.632,24,29,0.828,6,25,31,20,3,4,10,19,36,69,0.522,9,20,0.45,27,49,.551,0.587,12,19,0.632,8,19,27,26,6,3,6,22,1,1,0,michigan-state,2018
27,27,2018-02-10,,Purdue,REG (Conf),W,68,65,,29,60,0.483,6,18,0.333,23,42,0.548,0.533,4,6,0.667,6,31,37,21,2,4,6,14,26,64,0.406,6,19,0.316,20,45,.444,0.453,7,10,0.7,7,23,30,16,2,3,3,12,1,1,0,michigan-state,2018
28,28,2018-02-13,@,Minnesota,REG (Conf),W,87,57,,32,60,0.533,14,22,0.636,18,38,0.474,0.65,9,14,0.643,12,34,46,27,3,4,13,14,19,59,0.322,8,22,0.364,11,37,.297,0.39,11,13,0.846,4,15,19,10,8,1,8,16,1,1,0,michigan-state,2018
29,29,2018-02-17,@,Northwestern,REG (Conf),W,65,60,,20,46,0.435,8,18,0.444,12,28,0.429,0.522,17,21,0.81,6,25,31,16,3,0,11,16,21,56,0.375,9,23,0.391,12,33,.364,0.455,9,10,0.9,8,18,26,14,4,2,6,22,1,1,0,michigan-state,2018
30,30,2018-02-20,,Illinois,REG (Conf),W,81,61,,24,51,0.471,11,27,0.407,13,24,0.542,0.578,22,26,0.846,7,33,40,20,2,11,8,20,17,52,0.327,6,16,0.375,11,36,.306,0.385,21,28,0.75,6,19,25,13,6,3,4,22,1,1,0,michigan-state,2018
31,31,2018-02-25,@,Wisconsin,REG (Conf),W,68,63,,23,53,0.434,8,20,0.4,15,33,0.455,0.509,14,18,0.778,13,25,38,10,4,8,12,18,22,59,0.373,5,18,0.278,17,41,.415,0.415,14,19,0.737,10,15,25,7,4,1,4,16,1,1,0,michigan-state,2018
32,32,2018-03-02,N,Wisconsin,CTOURN,W,63,60,,24,56,0.429,5,16,0.313,19,40,0.475,0.473,10,11,0.909,11,25,36,10,3,7,10,14,26,57,0.456,6,17,0.353,20,40,.500,0.509,2,6,0.333,8,16,24,12,2,3,6,17,1,0,0,michigan-state,2018
33,33,2018-03-03,N,Michigan,CTOURN,L,64,75,,24,63,0.381,7,25,0.28,17,38,0.447,0.437,9,10,0.9,9,23,32,10,4,1,8,23,21,47,0.447,9,25,0.36,12,22,.545,0.543,24,33,0.727,4,30,34,10,5,1,8,13,0,0,0,michigan-state,2018
34,34,2018-03-16,N,Bucknell,ROUND-64,W,82,78,,31,58,0.534,5,17,0.294,26,41,0.634,0.578,15,22,0.682,10,26,36,21,4,6,9,22,23,55,0.418,11,20,0.55,12,35,.343,0.518,21,28,0.75,7,21,28,13,3,1,8,23,1,0,0,michigan-state,2018
35,35,2018-03-18,N,Syracuse,ROUND-32,L,53,55,,17,66,0.258,8,37,0.216,9,29,0.31,0.318,11,16,0.688,26,18,44,11,4,2,14,22,15,42,0.357,1,8,0.125,14,34,.412,0.369,24,31,0.774,4,20,24,3,5,6,11,20,0,0,0,michigan-state,2018
