rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,6,2011-11-28,Colorado,,Georgia,REG (Non-Conf),W 70-68,,7,0,1,0.0,0,1,0.0,0,0,,0.0,0,2,0.0,1,0,1,0,0,0,1,1,0,-2.2,H,1,1,jeremy-adams-1,Jeremy Adams,2012
2,2,7,2011-11-30,Colorado,@,Colorado State,REG (Non-Conf),L 64-65,,11,1,4,0.25,1,2,0.5,0,2,0.0,0.375,2,2,1.0,0,2,2,0,0,0,0,2,5,2.4,A,0,1,jeremy-adams-1,Jeremy Adams,2012
3,3,8,2011-12-07,Colorado,,Fresno State,REG (Non-Conf),W 71-64,,22,2,6,0.333,0,3,0.0,2,3,0.667,0.333,4,5,0.8,1,3,4,0,0,0,0,1,8,5.4,H,1,1,jeremy-adams-1,Jeremy Adams,2012
4,4,9,2011-12-09,Colorado,,Wyoming,REG (Non-Conf),L 54-65,,11,0,3,0.0,0,2,0.0,0,1,0.0,0.0,0,1,0.0,0,0,0,0,0,0,1,4,0,-5.1,H,0,1,jeremy-adams-1,Jeremy Adams,2012
5,5,10,2011-12-19,Colorado,,Cal State Bakersfield,REG (Non-Conf),W 70-64,*,13,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,0,0,0,1,0,0,2,1,2,-2.1,H,1,1,jeremy-adams-1,Jeremy Adams,2012
6,6,11,2011-12-22,Colorado,,Texas Southern,REG (Non-Conf),W 56-51,,9,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,1,1,2,0,1,0,4,2,3,-0.8,H,1,1,jeremy-adams-1,Jeremy Adams,2012
7,7,12,2011-12-28,Colorado,,New Orleans,REG (Non-Conf),W 92-34,,13,2,4,0.5,1,3,0.333,1,1,1.0,0.625,0,0,,0,1,1,0,0,0,1,1,5,1.9,H,1,1,jeremy-adams-1,Jeremy Adams,2012
8,8,13,2011-12-31,Colorado,,Utah,REG (Conf),W 73-33,,12,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,0,3,3,1,0,0,0,1,2,2.2,H,1,1,jeremy-adams-1,Jeremy Adams,2012
9,9,14,2012-01-05,Colorado,,Washington,REG (Conf),W 87-69,,13,1,3,0.333,0,1,0.0,1,2,0.5,0.333,4,5,0.8,1,4,5,1,1,0,1,2,6,5.7,H,1,1,jeremy-adams-1,Jeremy Adams,2012
10,10,15,2012-01-07,Colorado,,Washington State,REG (Conf),W 71-60,,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,2,3,0,-2.9,H,1,1,jeremy-adams-1,Jeremy Adams,2012
11,11,16,2012-01-12,Colorado,@,California,REG (Conf),L 50-57,,6,0,0,,0,0,,0,0,,,1,2,0.5,0,0,0,0,0,0,0,2,1,-0.2,A,0,1,jeremy-adams-1,Jeremy Adams,2012
12,12,17,2012-01-14,Colorado,@,Stanford,REG (Conf),L 64-84,,14,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,0,1,1,0,0,0,1,3,2,-1.6,A,0,1,jeremy-adams-1,Jeremy Adams,2012
13,13,18,2012-01-19,Colorado,,Arizona State,REG (Conf),W 69-54,,14,3,4,0.75,0,0,,3,4,0.75,0.75,1,1,1.0,0,1,1,1,1,0,1,2,7,5.6,H,1,1,jeremy-adams-1,Jeremy Adams,2012
14,14,19,2012-01-21,Colorado,,Arizona,REG (Conf),W 64-63,,5,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,1,1,0,0,0,0,2,0,-1.2,H,1,1,jeremy-adams-1,Jeremy Adams,2012
15,15,20,2012-01-26,Colorado,@,Southern California,REG (Conf),W 74-50,,19,2,3,0.667,0,1,0.0,2,2,1.0,0.667,6,8,0.75,0,1,1,0,0,0,1,0,10,7.2,A,1,1,jeremy-adams-1,Jeremy Adams,2012
16,16,21,2012-01-28,Colorado,@,UCLA,REG (Conf),L 60-77,,11,0,3,0.0,0,0,,0,3,0.0,0.0,0,0,,0,0,0,1,0,0,0,2,0,-2.2,A,0,1,jeremy-adams-1,Jeremy Adams,2012
17,17,22,2012-02-02,Colorado,,Oregon State,REG (Conf),W 82-60,,10,0,1,0.0,0,1,0.0,0,0,,0.0,2,2,1.0,0,2,2,1,0,0,0,1,2,2.2,H,1,1,jeremy-adams-1,Jeremy Adams,2012
18,18,23,2012-02-04,Colorado,,Oregon,REG (Conf),W 72-71,,3,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,H,1,1,jeremy-adams-1,Jeremy Adams,2012
19,19,24,2012-02-09,Colorado,@,Arizona,REG (Conf),L 57-71,,3,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,1,0,1,0,0,0,0,0,0,0.0,A,0,1,jeremy-adams-1,Jeremy Adams,2012
20,20,25,2012-02-11,Colorado,@,Arizona State,REG (Conf),W 63-49,,11,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,1,2,3,0,1,0,1,2,0,-0.9,A,1,1,jeremy-adams-1,Jeremy Adams,2012
21,21,26,2012-02-18,Colorado,@,Utah,REG (Conf),W 55-48,,9,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,4,4,1,0,0,3,1,0,-2.2,A,1,1,jeremy-adams-1,Jeremy Adams,2012
22,22,27,2012-02-23,Colorado,,Stanford,REG (Conf),L 50-74,,10,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,1,0,0,0,1.7,H,0,1,jeremy-adams-1,Jeremy Adams,2012
23,23,28,2012-02-26,Colorado,,California,REG (Conf),W 70-57,,2,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,2,1,3,0,0,0,0,0,2,2.0,H,1,1,jeremy-adams-1,Jeremy Adams,2012
24,24,29,2012-03-01,Colorado,@,Oregon,REG (Conf),L 81-90,,8,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,1,1,0,0,0,0,3,2,0.1,A,0,1,jeremy-adams-1,Jeremy Adams,2012
25,25,30,2012-03-03,Colorado,@,Oregon State,REG (Conf),L 69-83,,14,1,3,0.333,0,1,0.0,1,2,0.5,0.333,2,4,0.5,1,0,1,0,0,0,0,2,4,1.4,A,0,1,jeremy-adams-1,Jeremy Adams,2012
26,26,31,2012-03-07,Colorado,N,Utah,CTOURN,W 53-41,,9,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,1,1,0,0,0,1,4,0,-3.0,N,1,0,jeremy-adams-1,Jeremy Adams,2012
27,27,32,2012-03-08,Colorado,N,Oregon,CTOURN,W 63-62,,11,0,0,,0,0,,0,0,,,2,2,1.0,0,1,1,0,0,0,1,1,2,0.9,N,1,0,jeremy-adams-1,Jeremy Adams,2012
28,28,33,2012-03-09,Colorado,N,California,CTOURN,W 70-59,,4,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,1,1,0,-2.8,N,1,0,jeremy-adams-1,Jeremy Adams,2012
29,29,34,2012-03-10,Colorado,N,Arizona,CTOURN,W 53-51,,11,1,2,0.5,0,1,0.0,1,1,1.0,0.5,2,4,0.5,0,0,0,0,1,0,1,2,4,1.4,N,1,0,jeremy-adams-1,Jeremy Adams,2012
30,30,35,2012-03-15,Colorado,N,UNLV,ROUND-64,W 68-64,,9,0,1,0.0,0,0,,0,1,0.0,0.0,1,2,0.5,1,1,2,1,0,0,2,2,1,-1.2,N,1,0,jeremy-adams-1,Jeremy Adams,2012
31,31,36,2012-03-17,Colorado,N,Baylor,ROUND-32,L 63-80,,7,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,1,1,0,1,0,0,0,2,3.0,N,0,0,jeremy-adams-1,Jeremy Adams,2012
